gender,age,country,period,apps,n_unique_users,students,parents_of_children_0_4_years,parents_of_children_5_10_years,women_planning_a_baby,standard,premium_i_phone,other_premium,category
men,18-30,Poland,2018.1,Uber,9207,0.0437710437710438,0.0688606495058108,0.00564787661561855,0,0.921472792440534,0.0524600847181492,0.0260671228413164,Transportation
men,18-30,Ukraine,2018.1,Uber,3530,0.0524079320113315,0.0424929178470255,0.00254957507082153,0,0.927195467422096,0.0628895184135977,0.00991501416430596,Transportation
men,18-30,Other,2018.1,Uber,1461,0.0219028062970568,0.0513347022587269,0.0027378507871321,0,0.931553730321697,0.0424366872005476,0.026009582477755,Transportation
men,31-50,Poland,2018.1,Uber,8989,0.0110134608966515,0.0125709200133497,0.0586272110357103,0,0.926020691956836,0.0695294248525976,0.00444988319056627,Transportation
men,31-50,Ukraine,2018.1,Uber,3446,0,0.0118978525827046,0.0725478816018572,0,0.918456181079512,0.0687753917585607,0.0127684271619269,Transportation
men,31-50,Other,2018.1,Uber,1426,0,0.00561009817671809,0.0624123422159888,0,0.938990182328191,0.0525946704067321,0.00841514726507708,Transportation
men,51-64,Poland,2018.1,Uber,938,0,0,0,0,0.94456289978678,0.0319829424307036,0.0234541577825159,Transportation
men,51-64,Ukraine,2018.1,Uber,359,0,0,0,0,0.947075208913649,0.0194986072423398,0.0334261838440111,Transportation
men,51-64,Other,2018.1,Uber,149,0,0,0,0,0.953020134228188,0.0134228187919463,0.0335570469798658,Transportation
women,18-30,Poland,2018.1,Uber,1361,0.0249816311535636,0.0124908155767818,0.00220426157237325,0.00734753857457752,0.92138133725202,0.0624540778839089,0.0161645848640706,Transportation
women,18-30,Ukraine,2018.1,Uber,522,0.0172413793103448,0.00574712643678161,0.00383141762452107,0.00574712643678161,0.923371647509579,0.0517241379310345,0.024904214559387,Transportation
women,18-30,Other,2018.1,Uber,216,0.00462962962962963,0.00462962962962963,0,0.00462962962962963,0.935185185185185,0.0509259259259259,0.0138888888888888,Transportation
women,31-50,Poland,2018.1,Uber,1329,0,0.00752445447705041,0.0255831452219714,0.00150489089541008,0.927765237020316,0.0654627539503386,0.00677200902934538,Transportation
women,31-50,Ukraine,2018.1,Uber,509,0,0.00589390962671906,0.0294695481335953,0,0.915520628683694,0.0726915520628684,0.0117878192534381,Transportation
women,31-50,Other,2018.1,Uber,211,0,0.004739336492891,0.028436018957346,0,0.938388625592417,0.042654028436019,0.018957345971564,Transportation
women,51-64,Poland,2018.1,Uber,139,0,0,0,0,0.949640287769784,0.0215827338129496,0.0287769784172662,Transportation
women,51-64,Ukraine,2018.1,Uber,53,0,0,0,0,0.943396226415094,0.0188679245283019,0.0377358490566038,Transportation
women,51-64,Other,2018.1,Uber,22,0,0,0,0,0.954545454545455,0,0.0454545454545454,Transportation
men,18-30,Poland,2018.2,Uber,10218,0.044529262086514,0.0692894891368174,0.00577412409473478,0,0.921511058915639,0.0525543159130945,0.0259346251712663,Transportation
men,18-30,Ukraine,2018.2,Uber,3834,0.0529473135106938,0.0440792905581638,0.00312989045383412,0,0.928012519561815,0.0628586332811685,0.00912884715701623,Transportation
men,18-30,Other,2018.2,Uber,1572,0.0229007633587786,0.0515267175572519,0.00254452926208651,0,0.931933842239186,0.0426208651399491,0.0254452926208652,Transportation
men,31-50,Poland,2018.2,Uber,9791,0.0121540189970381,0.0135839035849249,0.0590338065570422,0,0.92676948217751,0.0524971912981309,0.0207333265243591,Transportation
men,31-50,Ukraine,2018.2,Uber,3753,0,0.0122568611777245,0.0724753530508926,0,0.931521449507061,0.0540900612843059,0.014388489208633,Transportation
men,31-50,Other,2018.2,Uber,1548,0,0.00645994832041344,0.062015503875969,0,0.939276485788114,0.0426356589147287,0.0180878552971576,Transportation
men,51-64,Poland,2018.2,Uber,1016,0,0,0,0,0.944881889763779,0.0324803149606299,0.0226377952755905,Transportation
men,51-64,Ukraine,2018.2,Uber,385,0,0,0,0,0.948051948051948,0.0207792207792208,0.0311688311688312,Transportation
men,51-64,Other,2018.2,Uber,149,0,0,0,0,0.953020134228188,0.0134228187919463,0.0335570469798658,Transportation
women,18-30,Poland,2018.2,Uber,1479,0.0256930358350237,0.0128465179175118,0.00202839756592292,0.00743745774171738,0.922244759972955,0.0628803245436106,0.0148749154834347,Transportation
women,18-30,Ukraine,2018.2,Uber,544,0.0183823529411765,0.00551470588235294,0.00367647058823529,0.00551470588235294,0.924632352941176,0.0533088235294118,0.0220588235294117,Transportation
women,18-30,Other,2018.2,Uber,235,0.00851063829787234,0.00425531914893617,0,0.00425531914893617,0.931914893617021,0.051063829787234,0.0170212765957447,Transportation
women,31-50,Poland,2018.2,Uber,1438,0,0.0090403337969402,0.0257301808066759,0.00139082058414465,0.928372739916551,0.0660639777468707,0.00556328233657855,Transportation
women,31-50,Ukraine,2018.2,Uber,536,0,0.00559701492537313,0.0279850746268657,0,0.916044776119403,0.0727611940298508,0.0111940298507464,Transportation
women,31-50,Other,2018.2,Uber,227,0,0.00440528634361234,0.026431718061674,0,0.938325991189427,0.0440528634361234,0.0176211453744494,Transportation
women,51-64,Poland,2018.2,Uber,136,0,0,0,0,0.948529411764706,0.0220588235294118,0.0294117647058824,Transportation
women,51-64,Ukraine,2018.2,Uber,52,0,0,0,0,0.942307692307692,0.0192307692307692,0.0384615384615384,Transportation
