group,period,region_name,apps,number_of_users,category
Voivodeship,2018.1,dolnośląskie,Bolt Driver,2758,Transportation
Voivodeship,2018.1,kujawsko-pomorskie,Bolt Driver,1003,Transportation
Voivodeship,2018.1,lubelskie,Bolt Driver,676,Transportation
Voivodeship,2018.1,łódzkie,Bolt Driver,919,Transportation
Voivodeship,2018.1,małopolskie,Bolt Driver,4467,Transportation
Voivodeship,2018.1,mazowieckie,Bolt Driver,10171,Transportation
Voivodeship,2018.1,pomorskie,Bolt Driver,1019,Transportation
Voivodeship,2018.1,śląskie,Bolt Driver,1869,Transportation
Voivodeship,2018.1,wielkopolskie,Bolt Driver,931,Transportation
Voivodeship,2019.1,dolnośląskie,Bolt Driver,3343,Transportation
Voivodeship,2019.1,kujawsko-pomorskie,Bolt Driver,1672,Transportation
Voivodeship,2019.1,lubelskie,Bolt Driver,909,Transportation
Voivodeship,2019.1,łódzkie,Bolt Driver,1334,Transportation
Voivodeship,2019.1,małopolskie,Bolt Driver,5917,Transportation
Voivodeship,2019.1,mazowieckie,Bolt Driver,13549,Transportation
Voivodeship,2019.1,pomorskie,Bolt Driver,1107,Transportation
Voivodeship,2019.1,śląskie,Bolt Driver,2869,Transportation
Voivodeship,2019.1,wielkopolskie,Bolt Driver,1087,Transportation
Voivodeship,2020.1,dolnośląskie,Bolt Driver,3758,Transportation
Voivodeship,2020.1,kujawsko-pomorskie,Bolt Driver,1960,Transportation
Voivodeship,2020.1,lubelskie,Bolt Driver,1067,Transportation
Voivodeship,2020.1,łódzkie,Bolt Driver,1679,Transportation
Voivodeship,2020.1,małopolskie,Bolt Driver,6517,Transportation
Voivodeship,2020.1,mazowieckie,Bolt Driver,16827,Transportation
Voivodeship,2020.1,pomorskie,Bolt Driver,881,Transportation
Voivodeship,2020.1,śląskie,Bolt Driver,2816,Transportation
Voivodeship,2020.1,wielkopolskie,Bolt Driver,1669,Transportation
Voivodeship,2018.2,dolnośląskie,Bolt Driver,3279,Transportation
Voivodeship,2018.2,kujawsko-pomorskie,Bolt Driver,1181,Transportation
Voivodeship,2018.2,lubelskie,Bolt Driver,873,Transportation
Voivodeship,2018.2,łódzkie,Bolt Driver,1212,Transportation
Voivodeship,2018.2,małopolskie,Bolt Driver,5245,Transportation
Voivodeship,2018.2,mazowieckie,Bolt Driver,11137,Transportation
Voivodeship,2018.2,pomorskie,Bolt Driver,1256,Transportation
Voivodeship,2018.2,śląskie,Bolt Driver,2607,Transportation
Voivodeship,2018.2,wielkopolskie,Bolt Driver,1105,Transportation
Voivodeship,2019.2,dolnośląskie,Bolt Driver,3903,Transportation
Voivodeship,2019.2,kujawsko-pomorskie,Bolt Driver,2045,Transportation
Voivodeship,2019.2,lubelskie,Bolt Driver,1132,Transportation
Voivodeship,2019.2,łódzkie,Bolt Driver,1727,Transportation
Voivodeship,2019.2,małopolskie,Bolt Driver,6164,Transportation
Voivodeship,2019.2,mazowieckie,Bolt Driver,14477,Transportation
Voivodeship,2019.2,pomorskie,Bolt Driver,1228,Transportation
Voivodeship,2019.2,śląskie,Bolt Driver,2851,Transportation
Voivodeship,2019.2,wielkopolskie,Bolt Driver,1443,Transportation
Voivodeship,2020.2,dolnośląskie,Bolt Driver,4150,Transportation
Voivodeship,2020.2,kujawsko-pomorskie,Bolt Driver,2271,Transportation
Voivodeship,2020.2,lubelskie,Bolt Driver,1501,Transportation
Voivodeship,2020.2,łódzkie,Bolt Driver,1959,Transportation
Voivodeship,2020.2,małopolskie,Bolt Driver,6848,Transportation
Voivodeship,2020.2,mazowieckie,Bolt Driver,15916,Transportation
Voivodeship,2020.2,pomorskie,Bolt Driver,944,Transportation
Voivodeship,2020.2,śląskie,Bolt Driver,2982,Transportation
Voivodeship,2020.2,wielkopolskie,Bolt Driver,2284,Transportation
Functional area,2018.1,Functional area - Bydgoszcz,Bolt Driver,528,Transportation
Functional area,2019.1,Functional area - Bydgoszcz,Bolt Driver,624,Transportation
Functional area,2020.1,Functional area - Bydgoszcz,Bolt Driver,697,Transportation
Functional area,2018.2,Functional area - Bydgoszcz,Bolt Driver,589,Transportation
Functional area,2019.2,Functional area - Bydgoszcz,Bolt Driver,597,Transportation
