period,apps,day,hour,activity_time,statistic,category
2018.1,Uber,Mondays-Thursdays,day (8-18),4.39944444444444,Average,Transportation
2018.2,Uber,Mondays-Thursdays,day (8-18),4.53083333333333,Average,Transportation
2019.1,Uber,Mondays-Thursdays,day (8-18),4.59416666666667,Average,Transportation
2019.2,Uber,Mondays-Thursdays,day (8-18),4.67583333333333,Average,Transportation
2020.1,Uber,Mondays-Thursdays,day (8-18),4.75555555555556,Average,Transportation
2020.2,Uber,Mondays-Thursdays,day (8-18),4.85444444444445,Average,Transportation
2018.1,Bolt Driver,Mondays-Thursdays,day (8-18),4.86972222222222,Average,Transportation
2018.2,Bolt Driver,Mondays-Thursdays,day (8-18),4.87111111111111,Average,Transportation
2019.1,Bolt Driver,Mondays-Thursdays,day (8-18),5.02388888888889,Average,Transportation
2019.2,Bolt Driver,Mondays-Thursdays,day (8-18),5.07722222222222,Average,Transportation
2020.1,Bolt Driver,Mondays-Thursdays,day (8-18),5.14611111111111,Average,Transportation
2020.2,Bolt Driver,Mondays-Thursdays,day (8-18),5.24666666666667,Average,Transportation
2018.1,FREE NOW,Mondays-Thursdays,day (8-18),4.03,Average,Transportation
2018.2,FREE NOW,Mondays-Thursdays,day (8-18),4.10444444444445,Average,Transportation
2019.1,FREE NOW,Mondays-Thursdays,day (8-18),4.24027777777778,Average,Transportation
2019.2,FREE NOW,Mondays-Thursdays,day (8-18),4.3225,Average,Transportation
2020.1,FREE NOW,Mondays-Thursdays,day (8-18),4.75388888888889,Average,Transportation
2020.2,FREE NOW,Mondays-Thursdays,day (8-18),4.54388888888889,Average,Transportation
2018.1,iTaxi,Mondays-Thursdays,day (8-18),5.0225,Average,Transportation
2018.2,iTaxi,Mondays-Thursdays,day (8-18),5.33944444444444,Average,Transportation
2019.1,iTaxi,Mondays-Thursdays,day (8-18),5.45916666666667,Average,Transportation
2019.2,iTaxi,Mondays-Thursdays,day (8-18),5.74555555555556,Average,Transportation
2020.1,iTaxi,Mondays-Thursdays,day (8-18),5.91305555555556,Average,Transportation
2020.2,iTaxi,Mondays-Thursdays,day (8-18),6.08,Average,Transportation
2019.2,Glover,Mondays-Thursdays,day (8-18),5.07555555555556,Average,Delivery
2020.1,Glover,Mondays-Thursdays,day (8-18),5.49277777777778,Average,Delivery
2020.2,Glover,Mondays-Thursdays,day (8-18),5.57694444444444,Average,Delivery
2018.1,Takeaway,Mondays-Thursdays,day (8-18),4.31166666666667,Average,Delivery
2018.2,Takeaway,Mondays-Thursdays,day (8-18),4.59361111111111,Average,Delivery
2019.1,Takeaway,Mondays-Thursdays,day (8-18),4.68083333333333,Average,Delivery
2019.2,Takeaway,Mondays-Thursdays,day (8-18),4.42944444444444,Average,Delivery
2020.1,Takeaway,Mondays-Thursdays,day (8-18),4.79666666666667,Average,Delivery
2020.2,Takeaway,Mondays-Thursdays,day (8-18),4.73361111111111,Average,Delivery
2020.1,Bolt Courier,Mondays-Thursdays,day (8-18),4.93222222222222,Average,Delivery
2020.2,Bolt Courier,Mondays-Thursdays,day (8-18),5.05027777777778,Average,Delivery
2018.1,Wolt,Mondays-Thursdays,day (8-18),4.61805555555556,Average,Delivery
2018.2,Wolt,Mondays-Thursdays,day (8-18),5.09944444444444,Average,Delivery
2019.1,Wolt,Mondays-Thursdays,day (8-18),5.20138888888889,Average,Delivery
2019.2,Wolt,Mondays-Thursdays,day (8-18),4.75166666666667,Average,Delivery
2020.1,Wolt,Mondays-Thursdays,day (8-18),5.28555555555556,Average,Delivery
2020.2,Wolt,Mondays-Thursdays,day (8-18),5.38361111111111,Average,Delivery
2018.1,Uber,Mondays-Thursdays,night (18-8),1.86222222222222,Average,Transportation
2018.2,Uber,Mondays-Thursdays,night (18-8),2.27638888888889,Average,Transportation
2019.1,Uber,Mondays-Thursdays,night (18-8),2.34277777777778,Average,Transportation
2019.2,Uber,Mondays-Thursdays,night (18-8),2.50805555555556,Average,Transportation
2020.1,Uber,Mondays-Thursdays,night (18-8),2.57333333333333,Average,Transportation
2020.2,Uber,Mondays-Thursdays,night (18-8),2.80472222222222,Average,Transportation
2018.1,Bolt Driver,Mondays-Thursdays,night (18-8),2.3525,Average,Transportation
2018.2,Bolt Driver,Mondays-Thursdays,night (18-8),2.37027777777778,Average,Transportation
2019.1,Bolt Driver,Mondays-Thursdays,night (18-8),2.53833333333333,Average,Transportation
2019.2,Bolt Driver,Mondays-Thursdays,night (18-8),2.62333333333333,Average,Transportation
2020.1,Bolt Driver,Mondays-Thursdays,night (18-8),2.69027777777778,Average,Transportation
2020.2,Bolt Driver,Mondays-Thursdays,night (18-8),2.85833333333333,Average,Transportation
2018.1,FREE NOW,Mondays-Thursdays,night (18-8),1.58,Average,Transportation
2018.2,FREE NOW,Mondays-Thursdays,night (18-8),1.66805555555556,Average,Transportation
2019.1,FREE NOW,Mondays-Thursdays,night (18-8),1.79166666666667,Average,Transportation
2019.2,FREE NOW,Mondays-Thursdays,night (18-8),1.79027777777778,Average,Transportation
2020.1,FREE NOW,Mondays-Thursdays,night (18-8),1.83027777777778,Average,Transportation
2020.2,FREE NOW,Mondays-Thursdays,night (18-8),1.88666666666667,Average,Transportation
2018.1,iTaxi,Mondays-Thursdays,night (18-8),1.0875,Average,Transportation
2018.2,iTaxi,Mondays-Thursdays,night (18-8),1.29,Average,Transportation
2019.1,iTaxi,Mondays-Thursdays,night (18-8),1.34111111111111,Average,Transportation
2019.2,iTaxi,Mondays-Thursdays,night (18-8),1.72444444444444,Average,Transportation
2020.1,iTaxi,Mondays-Thursdays,night (18-8),1.96027777777778,Average,Transportation
2020.2,iTaxi,Mondays-Thursdays,night (18-8),1.96388888888889,Average,Transportation
2019.2,Glover,Mondays-Thursdays,night (18-8),3.87666666666667,Average,Delivery
2020.1,Glover,Mondays-Thursdays,night (18-8),4.06222222222222,Average,Delivery
2020.2,Glover,Mondays-Thursdays,night (18-8),4.04805555555556,Average,Delivery
2018.1,Takeaway,Mondays-Thursdays,night (18-8),2.12916666666667,Average,Delivery
2018.2,Takeaway,Mondays-Thursdays,night (18-8),2.08277777777778,Average,Delivery
2019.1,Takeaway,Mondays-Thursdays,night (18-8),2.12916666666667,Average,Delivery
2019.2,Takeaway,Mondays-Thursdays,night (18-8),2.10138888888889,Average,Delivery
2020.1,Takeaway,Mondays-Thursdays,night (18-8),2.23111111111111,Average,Delivery
2020.2,Takeaway,Mondays-Thursdays,night (18-8),2.13555555555556,Average,Delivery
2020.1,Bolt Courier,Mondays-Thursdays,night (18-8),2.60166666666667,Average,Delivery
2020.2,Bolt Courier,Mondays-Thursdays,night (18-8),2.45333333333333,Average,Delivery
2018.1,Wolt,Mondays-Thursdays,night (18-8),2.75166666666667,Average,Delivery
2018.2,Wolt,Mondays-Thursdays,night (18-8),2.61888888888889,Average,Delivery
2019.1,Wolt,Mondays-Thursdays,night (18-8),2.78583333333333,Average,Delivery
2019.2,Wolt,Mondays-Thursdays,night (18-8),2.6525,Average,Delivery
2020.1,Wolt,Mondays-Thursdays,night (18-8),2.85166666666667,Average,Delivery
2020.2,Wolt,Mondays-Thursdays,night (18-8),2.68361111111111,Average,Delivery
2018.1,Uber,Fridays-Sundays,day (8-18),2.85638888888889,Average,Transportation
2018.2,Uber,Fridays-Sundays,day (8-18),2.98972222222222,Average,Transportation
2019.1,Uber,Fridays-Sundays,day (8-18),3.08833333333333,Average,Transportation
2019.2,Uber,Fridays-Sundays,day (8-18),3.10388888888889,Average,Transportation
2020.1,Uber,Fridays-Sundays,day (8-18),3.10277777777778,Average,Transportation
2020.2,Uber,Fridays-Sundays,day (8-18),3.25138888888889,Average,Transportation
2018.1,Bolt Driver,Fridays-Sundays,day (8-18),3.08638888888889,Average,Transportation
2018.2,Bolt Driver,Fridays-Sundays,day (8-18),3.17083333333333,Average,Transportation
2019.1,Bolt Driver,Fridays-Sundays,day (8-18),3.18777777777778,Average,Transportation
2019.2,Bolt Driver,Fridays-Sundays,day (8-18),3.33944444444444,Average,Transportation
2020.1,Bolt Driver,Fridays-Sundays,day (8-18),3.34,Average,Transportation
2020.2,Bolt Driver,Fridays-Sundays,day (8-18),3.37583333333333,Average,Transportation
2018.1,FREE NOW,Fridays-Sundays,day (8-18),2.10305555555556,Average,Transportation
2018.2,FREE NOW,Fridays-Sundays,day (8-18),2.32333333333333,Average,Transportation
2019.1,FREE NOW,Fridays-Sundays,day (8-18),2.36277777777778,Average,Transportation
2019.2,FREE NOW,Fridays-Sundays,day (8-18),2.42972222222222,Average,Transportation
2020.1,FREE NOW,Fridays-Sundays,day (8-18),2.60166666666667,Average,Transportation
2020.2,FREE NOW,Fridays-Sundays,day (8-18),2.73361111111111,Average,Transportation
2018.1,iTaxi,Fridays-Sundays,day (8-18),1.21333333333333,Average,Transportation
2018.2,iTaxi,Fridays-Sundays,day (8-18),1.36527777777778,Average,Transportation
2019.1,iTaxi,Fridays-Sundays,day (8-18),1.55138888888889,Average,Transportation
2019.2,iTaxi,Fridays-Sundays,day (8-18),1.9125,Average,Transportation
2020.1,iTaxi,Fridays-Sundays,day (8-18),2.14194444444444,Average,Transportation
2020.2,iTaxi,Fridays-Sundays,day (8-18),2.27,Average,Transportation
