group,source,month,index
polish,selectivv,2018-01-31,100
polish,selectivv,2018-02-28,100.28962669723722
polish,selectivv,2018-03-31,100.31598281717878
polish,selectivv,2018-04-30,100.59352853359138
polish,selectivv,2018-05-31,100.82031393629616
polish,selectivv,2018-06-30,100.97172241345443
polish,selectivv,2018-07-31,100.99468517731668
polish,selectivv,2018-08-31,101.34658438591974
polish,selectivv,2018-09-30,101.3795448589464
polish,selectivv,2018-10-31,101.58525099933419
polish,selectivv,2018-11-30,101.65583686610553
polish,selectivv,2018-12-31,101.7440820858182
polish,selectivv,2019-01-31,101.84100842061827
polish,selectivv,2019-02-28,102.10043247056653
polish,selectivv,2019-03-31,102.175431428857
polish,selectivv,2019-04-30,102.23833282741681
polish,selectivv,2019-05-31,102.42201003344573
polish,selectivv,2019-06-30,102.77014751855158
polish,selectivv,2019-07-31,102.78525849678843
polish,selectivv,2019-08-31,102.97884962080832
polish,selectivv,2019-09-30,103.11770878457851
polish,selectivv,2019-10-31,103.39541873064788
polish,selectivv,2019-11-30,103.59796964668577
polish,selectivv,2019-12-31,103.79715780891132
polish,selectivv,2020-01-31,104.13120354027056
polish,selectivv,2020-02-29,104.51279763130168
polish,selectivv,2020-03-31,104.56208041334276
polish,selectivv,2020-04-30,107.88806712515746
polish,selectivv,2020-05-31,105.02758184373174
polish,selectivv,2020-06-30,105.17557128552302
polish,selectivv,2020-07-31,105.33727345674116
polish,selectivv,2020-08-31,105.54080007823283
polish,selectivv,2020-09-30,105.56094638624127
polish,selectivv,2020-10-31,105.94636741410915
polish,selectivv,2020-11-30,105.99017627727845
polish,selectivv,2020-12-31,106.3275709892106
ukrainian,selectivv,2018-01-31,100
ukrainian,selectivv,2018-02-28,108.11641024095344
ukrainian,selectivv,2018-03-31,114.52646973247118
ukrainian,selectivv,2018-04-30,122.39203779016911
ukrainian,selectivv,2018-05-31,128.6912253848889
ukrainian,selectivv,2018-06-30,130.607862762547
ukrainian,selectivv,2018-07-31,133.52684826169937
ukrainian,selectivv,2018-08-31,137.8165268009553
ukrainian,selectivv,2018-09-30,143.1938066021041
ukrainian,selectivv,2018-10-31,148.02804611632388
ukrainian,selectivv,2018-11-30,153.518374372047
ukrainian,selectivv,2018-12-31,161.56586207781945
ukrainian,selectivv,2019-01-31,168.76275337748183
ukrainian,selectivv,2019-02-28,169.7039686185796
ukrainian,selectivv,2019-03-31,169.927953492051
ukrainian,selectivv,2019-04-30,182.9624627324941
ukrainian,selectivv,2019-05-31,193.01606883418225
ukrainian,selectivv,2019-06-30,210.5236294955662
ukrainian,selectivv,2019-07-31,206.24323121217833
ukrainian,selectivv,2019-08-31,198.738279803049
ukrainian,selectivv,2019-09-30,197.49100317110816
ukrainian,selectivv,2019-10-31,206.65269792781166
ukrainian,selectivv,2019-11-30,218.74681242128614
ukrainian,selectivv,2019-12-31,222.52595544057874
ukrainian,selectivv,2020-01-31,223.60108460721645
ukrainian,selectivv,2020-02-29,220.42007030129344
ukrainian,selectivv,2020-03-31,205.4321032435135
ukrainian,selectivv,2020-04-30,192.69576885152384
ukrainian,selectivv,2020-05-31,196.9975132349044
ukrainian,selectivv,2020-06-30,199.09953983558185
ukrainian,selectivv,2020-07-31,210.24212239441704
ukrainian,selectivv,2020-08-31,227.0108050197129
ukrainian,selectivv,2020-09-30,244.17183086617825
ukrainian,selectivv,2020-10-31,246.55956471195407
ukrainian,selectivv,2020-11-30,240.14053496158323
ukrainian,selectivv,2020-12-31,230.71535285947172
other,selectivv,2018-01-31,100
other,selectivv,2018-02-28,100.00851489001816
other,selectivv,2018-03-31,100.96702026029018
other,selectivv,2018-04-30,101.54382992890658
other,selectivv,2018-05-31,101.89477098822452
other,selectivv,2018-06-30,101.94967921699747
other,selectivv,2018-07-31,102.78322506605413
other,selectivv,2018-08-31,103.0266522620575
other,selectivv,2018-09-30,103.05389737220618
other,selectivv,2018-10-31,103.69527696789658
other,selectivv,2018-11-30,103.86223485574608
other,selectivv,2018-12-31,104.73090782545246
other,selectivv,2019-01-31,105.02711785900907
other,selectivv,2019-02-28,105.60192068934724
other,selectivv,2019-03-31,105.93020883403665
other,selectivv,2019-04-30,106.11233495891526
other,selectivv,2019-05-31,106.66965465302742
other,selectivv,2019-06-30,106.95946603811655
other,selectivv,2019-07-31,107.56666067951934
other,selectivv,2019-08-31,108.22011087303235
other,selectivv,2019-09-30,108.56394822247486
other,selectivv,2019-10-31,109.45998447674225
other,selectivv,2019-11-30,109.63036949722516
other,selectivv,2019-12-31,109.79461760332438
other,selectivv,2020-01-31,109.91236749176925
other,selectivv,2020-02-29,110.13199636847443
other,selectivv,2020-03-31,92.51025833470285
other,selectivv,2020-04-30,74.12313249476625
other,selectivv,2020-05-31,64.61298618062354
other,selectivv,2020-06-30,63.71382384176609
other,selectivv,2020-07-31,64.53712761466144
other,selectivv,2020-08-31,66.3385959007073
other,selectivv,2020-09-30,67.11716721250274
other,selectivv,2020-10-31,67.83508820865312
other,selectivv,2020-11-30,69.38093292044638
other,selectivv,2020-12-31,69.42110394894365
total,selectivv,2018-01-31,100
total,selectivv,2018-02-28,100.44340463135617
total,selectivv,2018-03-31,100.63722747718327
total,selectivv,2018-04-30,101.08455828824843
total,selectivv,2018-05-31,101.44304126816004
total,selectivv,2018-06-30,101.62793421537077
total,selectivv,2018-07-31,101.7409040398129
total,selectivv,2018-08-31,102.17136446639121
total,selectivv,2018-09-30,102.31606967363828
total,selectivv,2018-10-31,102.63450399385195
total,selectivv,2018-11-30,102.82210994105982
total,selectivv,2018-12-31,103.10533385564841
total,selectivv,2019-01-31,103.35820244111855
total,selectivv,2019-02-28,103.64332471159456
total,selectivv,2019-03-31,103.73061325879289
total,selectivv,2019-04-30,104.06955677933472
total,selectivv,2019-05-31,104.47351233912063
total,selectivv,2019-06-30,105.17899032022278
total,selectivv,2019-07-31,105.12555240384394
total,selectivv,2019-08-31,105.1745223241237
total,selectivv,2019-09-30,105.29176490493262
total,selectivv,2019-10-31,105.77795703007354
total,selectivv,2019-11-30,106.22844544009394
total,selectivv,2019-12-31,106.50136093185898
total,selectivv,2020-01-31,106.84310115060822
total,selectivv,2020-02-29,107.14420362495514
total,selectivv,2020-03-31,106.23882662830786
total,selectivv,2020-04-30,108.44236331641493
total,selectivv,2020-05-31,105.49120370947476
total,selectivv,2020-06-30,105.64222066471471
total,selectivv,2020-07-31,106.05789681720303
total,selectivv,2020-08-31,106.6662696104809
total,selectivv,2020-09-30,107.07293305466756
total,selectivv,2020-10-31,107.51233405824013
total,selectivv,2020-11-30,107.47513210890489
total,selectivv,2020-12-31,107.59726349371348
